ID	CODA_UTF8	CODA	Egyptian-Word_UTF8	Egyptian-Word	Egyptian-POS-CHE	Egyptian-POS-LDC	MSA-Lemma_UTF8	MSA-Lemma	English-Equivalent	CALIMA_EGY_LEMMA	CALIMA_ALMOR_POS	SAMA_LEMMA	SAMA_POS
37428	ضَيِّق	Day~iq	ضَيِّق	Day~iq	adj	ADJ	ضَيِّق	Day~iq	narrow;;restricted	Day~iq_1	pos:adj	Day~iq_1	pos:adj
37429	ضُئِي	Du}iy	ضُئِي	Du}iy	adj	ADJ	ضَوْئِيّ	Dawo}iy~	light;;luminous;;clear	UNK	UNK	Dawo}iy~_1	pos:adj
37430	ضُبَّيش	Dub~ay$	ضُبَّيش	Dub~ay$	noun	NOUN	ضُبَّيش	Dub~ay$	_	Dub~ay$_1	pos:noun	UNK	UNK
37431	ضُحَى	DuHaY	ضُحَى	DuHaY	noun	NOUN	ضُحَى	DuHaY	suddenly;;overnight;;forenoon	DuHaY_1	pos:noun	DuHaY_1	pos:noun
37432	ضُحَّيكَة	DuH~aykap	دُحَّيكَة	duH~aykap	noun	NOUN	ضَحْكَة	DaHokap	laugh;;laughter	duH~aykap_1	pos:noun	DaHokap_1	pos:noun
37433	ضُراط	DurAT	ظُراط	ZurAT	vbn	NOUN	ضُراط	DurAT	flatus;;farting	ZurAT_1	pos:noun	DurAT_1	pos:noun
37434	ضُرَّة	Dur~ap	ضُرَّة	Dur~ap	noun	NOUN	ضَرَّة	Dar~ap	co-wife	Dur~ap_1	pos:noun	Dar~ap_1	pos:noun
37435	ضُرَّة	Dur~ap	ضُرَّة	Dur~ap	vbn	NOUN	ضَرَّة	Dar~ap	hurt him	Dur~ap_1	pos:noun	Dar~ap_1	pos:noun
37436	ضُعْف	DuEof	ضُعْف	DuEof	vbn	NOUN	ضُعْف	DuEof	weakness	DuEof_1	pos:noun	DuEof_1	pos:noun
37437	ضُفْدَع	DufodaE	ضُفْدَع	DufodaE	noun	NOUN	ضَفْدَع	DafodaE	frogman	DufodaE_1	pos:noun	DafodaE_1	pos:noun
37438	ضُفْدَعَة	DufodaEap	ضُفْدَعَة	DufodaEap	noun	NOUN	ضِفْدَعَة	DifodaEap	frog	DufodaE_1	pos:noun	UNK	UNK
