ID	CODA_UTF8	CODA	Egyptian-Word_UTF8	Egyptian-Word	Egyptian-POS-CHE	Egyptian-POS-LDC	MSA-Lemma_UTF8	MSA-Lemma	English-Equivalent	CALIMA_EGY_LEMMA	CALIMA_ALMOR_POS	SAMA_LEMMA	SAMA_POS
1	آب	|b	آب	|b	noun+prop	NOUN_PROP	آب	|b	August	|b_1	pos:noun_prop	|b_1	pos:noun_prop
2	آبا	|bA	آبا	|bA	noun	NOUN	أَبِي	>abiy	father	|abA_1	pos:noun	>abiy~_1	pos:adj
3	آبِي	|biy	آبِي	|biy	pple-act	ADJ	آبِي	|biy	reluctant;;unwilling	|abiy_1	pos:adj	|biy_1	pos:noun
4	آتِي	|tiy	آتِي	|tiy	pple-act	ADJ	آتِي	|tiy	coming;;following	|tiy_1	pos:adj	|tiy_1	pos:adj
5	آتِي	|tiy	آتِي	|tiy	verb	PV	آتَى	|taY	afflict and curse	UNK	UNK	|taY_1	pos:verb
6	آتِي	|tiy	آتِي	|tiy	verb	PV	آتَى	|taY	afflict and curse	UNK	UNK	|taY_2	pos:verb
7	آتِي	|tiy	آتِي	|tiy	verb	PV	أَعْطَى	>aEoTaY	give	UNK	UNK	>aEoTaY_1	pos:verb
8	آجِر	|jir	آجِر	|jir	noun	NOUN	مُؤَجِّر	mu&aj~ir	work for a daily rate	UNK	UNK	mu&aj~ir_1	pos:noun
9	آجِر	|jir	آجِر	|jir	verb	PV	آجَر	|jar	grant	|ajir_1	pos:verb	|jar_1	pos:verb
10	آجِل	|jil	آجِل	|jil	pple-act	ADJ	آجِل	|jil	future;;deferred	|ajil_1	pos:adj	|jil_1	pos:noun
11	آحاد	|HAd	آحاد	|HAd	noun	NOUN	واحِد	wAHid	ones	wAHid_1	pos:noun	wAHid_1	pos:noun_num
12	آخَر	|xar	آخَر	|xar	adj	ADJ	آخَر	|xar	other	|xar_1	pos:adj	|xar_1	pos:adj
13	آخَر	|xar	آخَر	|xar	adj	ADJ	آخِر	|xir	extreme;;utmost	|xar_1	pos:adj	|xir_1	pos:adj_comp
14	آخَر	|xar	آخَر	|xar	adj	ADJ	آخِر	|xir	the last	|xar_1	pos:adj	|xir_1	pos:adj_comp
15	آخَر	|xar	آخَر	|xar	adj+elative	ADJ_COMP	آخَر	|xar	the ultimate	UNK	UNK	|xar_1	pos:adj
16	آخِذ	|xi*	آخِد	|xid	pple-act	ADJ	آخِذ	|xi*	taking;;captivating;;engrossing	|xid_1	pos:adj	|xi*_1	pos:adj
17	آخِذ	|xi*	آخِذ	|xi*	verb	PV	آخَذ	|xa*	blame;;reproach	|xi*_1	pos:verb	|xa*_1	pos:verb
18	آخِر	|xir	آخِر	|xir	adj	ADJ	آخِر	|xir	the last	UNK	UNK	|xir_1	pos:adj_comp
19	آخِر	|xir	آخِر	|xir	adv	NOUN	آخِر	|xir	end;;later part	|axir_1	pos:noun	|xir_1	pos:adj_comp
20	آخِرَة	|xirap	آخِرَة	|xirap	noun	NOUN	آخِرَة	|xirap	hereafter	|xirap_1	pos:noun	|xirap_1	pos:noun
21	آد	|d	آد	|d	noun	NOUN	وَلَد	walad	boy	|ad_1	pos:noun	walad_1	pos:noun
22	آدَم	|dam	آدَم	|dam	noun+prop	NOUN_PROP	آدَم	|dam	Adam	|dam_1	pos:noun_prop	|dam_1	pos:noun_prop
23	آدَمِي	|damiy	آدَمِي	|damiy	adj	ADJ	آدَمِيّ	|damiy~	human	|adamiy_1	pos:adj	|damiy~_1	pos:adj
24	آدَمِي	|damiy	آدَمِي	|damiy	adj	ADJ	آدَمِيّ	|damiy~	human	|damiy~_1	pos:adj	|damiy~_1	pos:adj
25	آدَمِيَّة	|damiy~ap	آدَمِيَّة	|damiy~ap	noun	NOUN	آدَمِيَّة	|damiy~ap	human	|damiy~ap_1	pos:noun	UNK	UNK
26	آدِم	|dim	آدِم	|dim	verb	PV	أَكَل	>akal	eat	|adim_1	pos:verb	>akal-u_1	pos:verb
27	آدِي	|diy	آدِي	|diy	dem	DEM_PRON	هَذا	ha*A	this is-that is	|adiy_1	pos:pron_dem	UNK	UNK
28	آرِيا	|riyA	آرِيا	|riyA	verb	PV	خَفَّض	xaf~aD	lower away	UNK	UNK	xaf~aD_1	pos:verb
29	آزِم	|zim	آزِم	|zim	pple-act	ADJ	آزِم	|zim	critical;;decisive	|zim_1	pos:adj	|zim_1	pos:adj
30	آس	|s	آس	|s	noun	NOUN	آس	|s	myrtle-tree	|s_1	pos:noun	|s_1	pos:noun
31	آس	|s	آس	|s	noun	NOUN	آس	|s	myrtle-tree	|s_1	pos:noun	|s_2	pos:noun
32	آس	|s	آس	|s	noun	NOUN	آس	|s	myrtle-tree	|s_2	pos:noun	|s_1	pos:noun
33	آس	|s	آس	|s	noun	NOUN	آس	|s	myrtle-tree	|s_2	pos:noun	|s_2	pos:noun
34	آسَة	|sap	آسَة	|sap	noun	NOUN	آس	|s	myrtle-tree	|asap_1	pos:noun	|s_1	pos:noun
35	آسَة	|sap	آسَة	|sap	noun	NOUN	آس	|s	myrtle-tree	|asap_1	pos:noun	|s_2	pos:noun
36	آسِف	|sif	آسِف	|sif	pple-act	ADJ	آسِف	|sif	sorry;;regretful	|sif_1	pos:adj	|sif_1	pos:noun
37	آسْيا	|soyA	آسْيا	|soyA	noun+prop	NOUN_PROP	آسِيا	|siyA	Asia	Al_0	pos:noun_prop	UNK	UNK
38	آصَل	|Sal	آصَل	|Sal	noun	NOUN	أَصَلَة	>aSalap	python	UNK	UNK	>aSalap_1	pos:noun
39	آصَلَة	|Salap	آصَلَة	|Salap	noun	NOUN	آصَلَة	|Salap	python	UNK	UNK	UNK	UNK
40	آفَة	|fap	آفَة	|fap	noun	NOUN	آفَة	|fap	disease	|fap_1	pos:noun	|fap_1	pos:noun
41	آكِل	|kil	آكِل	|kil	pple-act	ADJ	آكِل	|kil	eating	|kil_1	pos:adj	|kil_1	pos:adj
42	آكِل	|kil	آكِل	|kil	verb	PV	آكَل	|kal	feed	|kil_1	pos:verb	|kal_1	pos:verb
43	آل	|l	آل	|l	noun	NOUN	آل	|l	lineage	|l_2	pos:noun	|l_2	pos:noun
44	آل	|l	آل	|l	noun	NOUN	لُعْبَة	luEobap	jacks;;five stones	|l_2	pos:noun	luEobap_1	pos:noun
45	آل	|l	آل	|l	verb	PV	آل	|l	be certain	|l-u_1	pos:verb	|l-u_1	pos:verb
46	آل	|l	آل	|l	verb	PV	رَجَّع	raj~aE	revert	|l-u_1	pos:verb	raj~aE_1	pos:verb
47	آلاتِي	|lAtiy	آلاتِي	|lAtiy	adj	ADJ	داعِر	dAEir	raffish	UNK	UNK	dAEir_1	pos:adj
48	آلاتِي	|lAtiy	آلاتِي	|lAtiy	adj	ADJ	عازِف	EAzif	low class musician	UNK	UNK	EAzif_1	pos:noun
49	آلاف	|lAf	آلاف	|lAf	noun	NOUN	أَلْف	>alof	thousands	>ulof_1	pos:noun	>alof_1	pos:noun_num
50	آلَة	|lap	آلَة	|lap	noun	NOUN	آلَة	|lap	musical instrument	|lap_1	pos:noun	|lap_1	pos:noun
51	آلَة	|lap	آلَة	|lap	noun	NOUN	آلَة	|lap	tool;;instrument;;machine	|lap_1	pos:noun	|lap_1	pos:noun
52	آلِف	|lif	آلِف	|lif	pple-act	ADJ	آلِف	|lif	confidant;;companion	|lif_1	pos:adj	|lif_1	pos:adj
53	آلِم	|lim	آلِم	|lim	verb	PV	آلَم	|lam	cause pain	UNK	UNK	|lam_1	pos:verb
54	آلِي	|liy	آلِي	|liy	adj	ADJ	آلِيّ	|liy~	mechanical;;automatic	|aliy_1	pos:adj	|liy~_1	pos:adj
55	آلِي	|liy	آلِي	|liy	adj	ADJ	آلِيّ	|liy~	mechanical;;automatic	|liy~_1	pos:adj	|liy~_1	pos:adj
56	آمَن	|man	آمَن	|man	adj+elative	ADJ_COMP	آمَن	|man	more secure	|aman_1	pos:adj_comp	UNK	UNK
57	آمِر	|mir	آمِر	|mir	pple-act	ADJ	آمِر	|mir	commander;;commandant	|amir_1	pos:adj	|mir_1	pos:noun
58	آمِم	|mim	آمِم	|mim	pple-act	ADJ	آمّ	|m~	leader	|amim_1	pos:adj	UNK	UNK
59	آمِن	|min	آمِن	|min	adj	ADJ	آمِن	|min	secure	|min_1	pos:adj	|min_1	pos:adj
60	آمِن	|min	آمِن	|min	pple-act	ADJ	آمِن	|min	secure;;safe	|min_1	pos:adj	|min_1	pos:adj
61	آمِن	|min	آمِن	|min	verb	PV	آمَن	|man	believe	|min_1	pos:verb	|man_1	pos:verb
62	آمِن	|min	آمِن	|min	verb	PV	آمَن	|man	have faith	|min_1	pos:verb	|man_1	pos:verb
63	آمِين	|miyn	آمِين	|miyn	interj	INTERJ	آمِين	|miyn	amen	UNK	UNK	UNK	UNK
64	آمِين	|miyn	آمِين	|miyn	verb	PV	آمِين	|miyn	respond;;answer	|miyn_1	pos:verb	|miyn_1	pos:verb
65	آن	|n	آن	|n	noun	NOUN	آن	|n	time;;moment	|n_1	pos:noun	|n_1	pos:noun
66	آن	|n	آن	|n	noun+prop	NOUN_PROP	آن	|n	An	Al_0	pos:noun_prop	UNK	UNK
67	آن	|n	آن	|n	verb	PV	حانَ	HAna	come;;approach	|n-ui_1	pos:verb	HAn-i_1	pos:verb
68	آن	|n	آن	|n	verb	PV	حانَ	HAna	come;;approach	|n_1	pos:verb	HAn-i_1	pos:verb
69	آنِس	|nis	آنِس	|nis	verb	PV	آنَس	|nas	entertain	|anis_1	pos:verb	|nas_1	pos:verb
70	آنِس	|nis	آنِس	|nis	verb	PV	آنَس	|nas	entertain	|anis_1	pos:verb	|nas_2	pos:verb
71	آنِسَة	|nisap	آنِسَة	|nisap	adj	ADJ	آنِسَة	|nisap	miss	UNK	UNK	|nisap_1	pos:noun
72	آنِسَة	|nisap	آنِسَة	|nisap	noun	NOUN	آنِسَة	|nisap	lady;;miss	|nisap_1	pos:noun	|nisap_1	pos:noun
73	آنِي	|niy	آنِي	|niy	pron	PRON	أَنا	>anA	me	UNK	UNK	>anA_1	pos:pron
74	آه	|h	آه	|h	interj	INTERJ	آهِ	|hi	ah	|ah_1	pos:interj	UNK	UNK
75	آهُ	|hu	آهُ	|hu	interj	INTERJ	آهِ	|hi	ah	|ah_1	pos:interj	UNK	UNK
76	آهِل	|hil	آهِل	|hil	pple-act	ADJ	آهِل	|hil	populated	|ahil_1	pos:adj	|hil_1	pos:noun
77	آوِت	|wit	آوِت	|wit	adj	ADJ	خارِج	xArij	off the mark	UNK	UNK	xArij_1	pos:adj
78	آيَة	|yap	آيَة	|yap	noun	NOUN	آيَة	|yap	verse	|yap_1	pos:noun	|yap_1	pos:noun
79	آيَة	|yap	آيَة	|yap	noun	NOUN	آيَة	|yap	verse	|yap_1	pos:noun	|yap_2	pos:noun
80	آيَة	|yap	آيَة	|yap	noun	NOUN	آيَة	|yap	verse	|yap_2	pos:noun	|yap_1	pos:noun
81	آيَة	|yap	آيَة	|yap	noun	NOUN	آيَة	|yap	verse	|yap_2	pos:noun	|yap_2	pos:noun
82	آيَة	|yap	آيَة	|yap	noun+prop	NOUN_PROP	آيَة	|yap	Prodigy	Al_0	pos:noun_prop	UNK	UNK
83	آيِس	|yis	آيِس	|yis	noun	NOUN	ثَلْج	valoj	ice	UNK	UNK	valoj_1	pos:noun
84	آيِس	|yis	آيِس	|yis	verb	PV	يَئِس	ya}is	despair of	|ayis_1	pos:verb	ya}is-ai_1	pos:verb
85	آيْ لايْنَر	|yo lAyonar	آيْلايْنَر	|yolAyonar	noun	NOUN	مُحَدِّد العَيْن	muHad~id AlEayon	eye liner	|aylAyonar_1	pos:noun	UNK	UNK
86	أخَذان	>xa*An	أَخَداٰن	>axadA`n	vbn	NOUN	أَخْذ	>axo*	seizure;;taking	UNK	UNK	>axo*_1	pos:noun
87	أدَى	>daY	أدَى	>daY	verb	PV	أَعْطَى	>aEoTaY	be given;;provide;;give;;hand over;;be provided	UNK	UNK	>aEoTaY_1	pos:verb
88	أدْرَك	>dorak	أدْرَك	>dorak	verb	PV	أَدْرَك	>adorak	realize;;be comprehended;;comprehend;;be realized	>adorak_1	pos:verb	>adorak_1	pos:verb
89	أدْرَك	>dorak	أدْرَك	>dorak	verb	PV	أَدْرَك	>adorak	realize;;be comprehended;;comprehend;;be realized	>adorak_2	pos:verb	>adorak_1	pos:verb
90	أرْبِعِين	>robiEiyn	أَرْبِعِين	>arobiEiyn	noun-num	NOUN_NUM	أَرْبَعِين	>arobaEiyn	forties	ArobiEiyn_1	pos:noun_num	>arobaEiyn_1	pos:noun
91	أرْضَى	>roDaY	أرْضَى	>roDaY	verb	PV	أَرْضَى	>aroDaY	please;;satisfy;;be pleased;;be satisfied	>aroDaY_1	pos:verb	>aroDaY_1	pos:verb
92	أكْد	>kod	أكْد	>kod	verb	PV	أَكَّد	>ak~ad	be affirmed;;be confirmed;;be assured;;assure;;affirm;;be guaranteed;;guarantee;;confirm	UNK	UNK	>ak~ad_1	pos:verb
93	أمْرِيكِيَّة	>moriykiy~ap	أَمْرِيكِيَّة	>amoriykiy~ap	adj	ADJ	امْرِيكِيَّة	Amoriykiy~ap	american	UNK	UNK	UNK	UNK
94	أَباجَورَة	>abAjawrap	أَباجَورَة	>abAjawrap	noun	NOUN	مِصْباح	miSobAH	lamp	>abAjawrap_1	pos:noun	miSobAH_1	pos:noun
95	أَباح	>abAH	أَباح	>abAH	verb	PV	أَباح	>abAH	be allowed;;be revealed;;reveal;;allow	>abAH_1	pos:verb	>abAH_1	pos:verb
96	أَباح	>abAH	أَباح	>abAH	verb	PV	أَباح	>abAH	permit	>abAH_1	pos:verb	>abAH_1	pos:verb
97	أَباد	>abAd	أَباد	>abAd	verb	PV	أَباد	>abAd	destroy;;exterminate;;be exterminated;;eradicate	>abAd_1	pos:verb	>abAd_1	pos:verb
98	أَبارْكَة	>abArokap	أَبارْكَة	>abArokap	noun	NOUN	أَبارْكَة	>abArokap	red wine	>abArokap_1	pos:noun	UNK	UNK
99	أَباظِي	>abAZiy	أَباظِي	>abAZiy	noun	NOUN	أَباظِيّ	>abAZiy~	abazi	UNK	UNK	UNK	UNK
100	أَبان	>abAn	أَبان	>abAn	verb	PV	أَبان	>abAn	be explained;;explain	>abAn_1	pos:verb	>abAn_1	pos:verb
101	أَبان	>abAn	أَبان	>abAn	verb	PV	أَبان	>abAn	clear;;be obvious	>abAn_1	pos:verb	>abAn_1	pos:verb
102	أَبان	>abAn	أَبان	>abAn	verb	PV	أَبان	>abAn	make evident	>abAn_1	pos:verb	>abAn_1	pos:verb
103	أَبان	>abAn	أَبان	>abAn	verb	PV	أَظْهَر	>aZohar	show;;manifest	>abAn_1	pos:verb	>aZohar_1	pos:verb
104	أَبان	>abAn	أَبان	>abAn	verb	PV	أَوْضَح	>awoDaH	clarify	>abAn_1	pos:verb	>awoDaH_1	pos:verb
105	أَبانا	>abAnA	أَبانا	>abAnA	noun	NOUN	أَبانا	>abAnA	our father	>abAnA_1	pos:noun	UNK	UNK
106	أَبَداً	>abadAF	أَبَداً	>abadAF	adv	NOUN	أَبَداً	>abadAF	forever	UNK	UNK	UNK	UNK
107	أَبَداً	>abadAF	أَبَدً	>abadF	adv	NOUN	إِطْلاقا	<iTolAqA	never	>abad_1	pos:noun	UNK	UNK
108	أَبَدِي	>abadiy	أَبَدِي	>abadiy	adj	ADJ	أَبَدِيّ	>abadiy~	eternal	>abadiy_1	pos:adj	>abadiy~_1	pos:adj
109	أَبَدّ	>abad~	أَبَدّ	>abad~	adj	ADJ	قاسِي;;صُلْب	qAsiy;;Sulob	callous;;insensitive	UNK	UNK	Sulob_2	pos:adj
110	أَبَدّ	>abad~	أَبَدّ	>abad~	adj	ADJ	قاسِي;;صُلْب	qAsiy;;Sulob	callous;;insensitive	UNK	UNK	qAsiy_1	pos:adj
111	أَبَنَوس	>abanaws	أَبَنَوس	>abanaws	noun	NOUN	قَلَم حِبْر	qalam Hibor	fountain pen	>abanaws_1	pos:noun	UNK	UNK
112	أَبَوِي	>abawiy	أَبَوِي	>abawiy	adj	ADJ	أَبَوِيّ	>abawiy~	parental	>abawiy_1	pos:adj	>abawiy~_1	pos:adj
113	أَبَى	>abaY	أَبَى	>abaY	verb	PV	أَبَى	>abaY	refuse;;deny	>abaY-a_1	pos:verb	>abaY-a_1	pos:verb
114	أَبَى	>abaY	أَبَى	>abaY	verb	PV	أَبَى	>abaY	refuse;;deny	>abaY_1	pos:verb	>abaY-a_1	pos:verb
115	أَبَيه	>abayh	أَبَيه	>abayh	noun	NOUN	أَبِيه	>abiyh	abb (in Abb-Deschamps)	>abayh_1	pos:noun	UNK	UNK
116	أَبُغَلَمْسِيس	>abugalamosiys	أَبُغَلَمْسِيس	>abugalamosiys	noun	NOUN	أَبُوكالِيبس	>abuwkAliybs	apocalypse	>abugalamosiys_1	pos:noun	UNK	UNK
117	أَبُوكاتُو	>abuwkAtuw	أَبُوكاتُو	>abuwkAtuw	noun	NOUN	مُحامَى	muHAmaY	lawyer	>abuwkAtuw_1	pos:noun	UNK	UNK
118	أَبُونَيه	>abuwnayh	أَبُونَيه	>abuwnayh	noun	NOUN	اِشْتِراك	Ai$otirAk	partnership;;participation	>abuwnayh_1	pos:noun	{i$otirAk_1	pos:noun
119	أَبُونِيَة	>abuwniyap	أَبُونِيَة	>abuwniyap	noun	NOUN	تَذْكِرَة	ta*okirap	season ticket	UNK	UNK	ta*okirap_1	pos:noun
120	أَبِي	>abiy	أَبِي	>abiy	adj	ADJ	أَبِيّ	>abiy~	dignified;;noble;;proud	>abiy~_1	pos:adj	>abiy~_1	pos:adj
121	أَبِيب	>abiyb	أَبِيب	>abiyb	noun+prop	NOUN_PROP	أَبِيب	>abiyb	Abib;;Aviv;;Epip	>abiyb_1	pos:noun_prop	>abiyb_1	pos:noun_prop
122	أَبِيب	>abiyb	أَبِيب	>abiyb	noun+prop	NOUN_PROP	أَبِيب	>abiyb	Abib;;Aviv;;Epip	>abiyb_2	pos:noun_prop	>abiyb_1	pos:noun_prop
123	أَبِيب	>abiyb	أَبِيب	>abiyb	noun+prop	NOUN_PROP	أَبِيب	>abiyb	Abib;;Epip;;Aviv	>abiyb_1	pos:noun_prop	>abiyb_2	pos:noun_prop
124	أَبِيب	>abiyb	أَبِيب	>abiyb	noun+prop	NOUN_PROP	أَبِيب	>abiyb	Abib;;Epip;;Aviv	>abiyb_2	pos:noun_prop	>abiyb_2	pos:noun_prop
125	أَبِيس	>abiys	أَبِيس	>abiys	noun	NOUN	أَبِيس	>abiys	apes	UNK	UNK	UNK	UNK
126	أَبِيَضانِي	>abiyaDAniy	أَبِيَضانِي	>abiyaDAniy	adj	ADJ	أَبْيَض	>aboyaD	fair-complexioned	UNK	UNK	>aboyaD_1	pos:adj
127	أَبِيَن	>abiyan	أَبِيَن	>abiyan	adj+elative	ADJ_COMP	أَبْيَن	>aboyan	most clear	UNK	UNK	>aboyan_1	pos:adj_comp
128	أَبّ	>ab~	أَبّ	>ab~	noun	NOUN	أَب	>ab	father	>ab~_1	pos:noun	>ab_1	pos:noun
129	أَبّ	>ab~	أَبّ	>ab~	noun	NOUN	أَب	>ab	priest	>ab~_1	pos:noun	>ab_1	pos:noun
130	أَبّ	>ab~	أَبّ	>ab~	noun	NOUN	مَصْدَر	maSodar	source	>ab~_1	pos:noun	maSodar_1	pos:noun
131	أَبَّظ	>ab~aZ	أَبَّظ	>ab~aZ	verb	PV	ضَغَط	DagaT	squeeze	>ab~aZ_1	pos:verb	DagaT_1	pos:verb
132	أَبِّن	>ab~in	أَبِّن	>ab~in	verb	PV	أَبَّن	>ab~an	eulogize	>ab~in_1	pos:verb	>ab~an_1	pos:verb
133	أَبْجَح	>abojaH	أَبْجَح	>abojaH	adj+elative	ADJ_COMP	أَبْجَح	>abojaH	more impudent	>abojaH_1	pos:adj_comp	UNK	UNK
134	أَبْجَح	>abojaH	أَبْجَح	>abojaH	adj+elative	ADJ_COMP	أَوْقَح	>awoqaH	more impudent	>abojaH_1	pos:adj_comp	UNK	UNK
135	أَبْجَد	>abojad	أَبْجَد	>abojad	noun	NOUN	أَبْجَد	>abojad	alphabet	>abojad_1	pos:noun	>abojad_1	pos:noun
136	أَبْجَد	>abojad	أَبْجَد	>abojad	noun	NOUN	مُبْتَدِئ	mubotadi}	beginner	>abojad_1	pos:noun	mubotadi}_1	pos:noun
137	أَبْجَدِي	>abojadiy	أَبْجَدِي	>abojadiy	adj	ADJ	أَبْجَدِيّ	>abojadiy~	by the book	>abojadiy_1	pos:adj	>abojadiy~_1	pos:adj
138	أَبْجَدِيَّة	>abojadiy~ap	أَبْجَدِيَّة	>abojadiy~ap	noun	NOUN	أَبْجَدِيَّة	>abojadiy~ap	alphabet	>abojadiy~ap_1	pos:noun	>abojadiy~ap_1	pos:noun
139	أَبْخَر	>aboxar	أَبْخَر	>aboxar	adj+elative	ADJ_COMP	أَبْخَر	>aboxar	exhaling malodorous	UNK	UNK	>aboxar_1	pos:noun
140	أَبْخَر	>aboxar	أَبْخَر	>aboxar	adj+elative	ADJ_COMP	أَبْخَر	>aboxar	foul-breathed	UNK	UNK	>aboxar_1	pos:noun
141	أَبْخَل	>aboxal	أَبْخَل	>aboxal	adj+elative	ADJ_COMP	أَبْخَل	>aboxal	more miserly	>aboxal_1	pos:adj_comp	UNK	UNK
142	أَبْدَر	>abodar	أَبْدَر	>abodar	adj+elative	ADJ_COMP	أَبْدَر	>abodar	earlier;;earliest	>abodar_1	pos:adj_comp	UNK	UNK
143	أَبْدَر	>abodar	أَبْدَر	>abodar	adj+elative	ADJ_COMP	أَبْكَر	>abokar	earlier;;earliest	>abodar_1	pos:adj_comp	>abokar_2	pos:adj_comp
144	أَبْدَع	>abodaE	أَبْدَع	>abodaE	adj+elative	ADJ_COMP	أَبْدَع	>abodaE	more wonderful	>abodaE_2	pos:adj_comp	>abodaE_2	pos:adj_comp
145	أَبْدَع	>abodaE	أَبْدَع	>abodaE	verb	PV	أَبْدَع	>abodaE	innovate;;excel;;create	>abodaE_1	pos:verb	>abodaE_1	pos:verb
146	أَبْدَى	>abodaY	أَبْدا	>abodA	adj+elative	ADJ_COMP	أَوْلَى	>awolaY	having priority;;taking precedence	>abodaY_1	pos:adj_comp	>awolaY_2	pos:adj
147	أَبْدَى	>abodaY	أَبْدَى	>abodaY	adj+elative	ADJ_COMP	أَبْدَى	>abodaY	superior	>abodaY_1	pos:adj_comp	UNK	UNK
148	أَبْدَى	>abodaY	أَبْدَى	>abodaY	verb	PV	أَبْدَى	>abodaY	be expressed;;demonstrate;;be shown;;show;;express;;be demonstrated	>abodaY_1	pos:verb	>abodaY_1	pos:verb
149	أَبْرَد	>aborad	أَبْرَد	>aborad	adj+elative	ADJ_COMP	أَبْرَد	>aborad	milder;;mildest	UNK	UNK	UNK	UNK
150	أَبْرَز	>aboraz	أَبْرَز	>aboraz	verb	PV	أَبْرَز	>aboraz	emphasize;;bring out	>aboraz_1	pos:verb	>aboraz_1	pos:verb
151	أَبْرَز	>aboraz	أَبْرَز	>aboraz	verb	PV	أَبْرَز	>aboraz	highlight;;expose	>aboraz_1	pos:verb	>aboraz_1	pos:verb
152	أَبْرَشِيَّة	>abora$iy~ap	أَبْرَشِيَّة	>abora$iy~ap	noun	NOUN	أَبْرَشِيَّة	>abora$iy~ap	diocese	>abora$iy~ap_1	pos:noun	UNK	UNK
153	أَبْرَص	>aboraS	أَبْرَص	>aboraS	adj	ADJ	أَبْرَص	>aboraS	leper;;leprous	>aboraS_1	pos:adj	>aboraS_1	pos:noun
154	أَبْرَع	>aboraE	أَبْرَع	>aboraE	adj+elative	ADJ_COMP	أَبْرَع	>aboraE	more eminent;;more skillful	>aboraE_1	pos:adj_comp	>aboraE_1	pos:adj_comp
155	أَبْرَع	>aboraE	أَبْرَع	>aboraE	adj+elative	ADJ_COMP	أَبْرَع	>aboraE	most skilled	>aboraE_1	pos:adj_comp	>aboraE_1	pos:adj_comp
156	أَبْرَك	>aborak	أَبْرَك	>aborak	adj+elative	ADJ_COMP	أَبْرَك	>aborak	more blessed	>aborak_1	pos:adj_comp	>aborak_2	pos:adj_comp
157	أَبْرَك	>aborak	أَبْرَك	>aborak	adj+elative	ADJ_COMP	أَبْرَك	>aborak	more blessed	>aborak_2	pos:adj_comp	>aborak_2	pos:adj_comp
158	أَبْرَك	>aborak	أَبْرَك	>aborak	adj+elative	ADJ_COMP	أَبْرَك	>aborak	most useful;;effective	>aborak_1	pos:adj_comp	>aborak_2	pos:adj_comp
159	أَبْرَك	>aborak	أَبْرَك	>aborak	adj+elative	ADJ_COMP	أَبْرَك	>aborak	most useful;;effective	>aborak_2	pos:adj_comp	>aborak_2	pos:adj_comp
160	أَبْرَم	>aboram	أَبْرَم	>aboram	verb	PV	أَبْرَم	>aboram	conclude;;ratify;;be concluded;;be ratified	>aboram_1	pos:verb	>aboram_1	pos:verb
161	أَبْرَم	>aboram	أَبْرَم	>aboram	verb	PV	جَدَل	jadal	twist	>aboram_1	pos:verb	jadal-ui_1	pos:verb
162	أَبْرَيتِيف	>aboraytiyf	أَبْرَتِيف	>aboratiyf	noun	NOUN	مُقَبِّلات	muqab~ilAt	appetizer	>aboratiyf_1	pos:noun	UNK	UNK
163	أَبْرُوسْفارِين	>aboruwsofAriyn	أَبْرُوسْفارِين	>aboruwsofAriyn	noun	NOUN	أَبْرُوسْفارِين	>aboruwsofAriyn	abrousfarin	UNK	UNK	UNK	UNK
164	أَبْرِيق	>aboriyq	أَبْرِيق	>aboriyq	noun	NOUN	إِبْرِيق	<iboriyq	pot	>aboriyq_1	pos:noun	<iboriyq_1	pos:noun
165	أَبْرِيل	>aboriyl	أَبْرِيل	>aboriyl	noun+prop	NOUN_PROP	أَبْرِيل	>aboriyl	April	>aboriyl_1	pos:noun_prop	>aboriyl_1	pos:noun_prop
166	أَبْرِيل	>aboriyl	أَبْرِيل	>aboriyl	noun+prop	NOUN_PROP	أَبْرِيل	>aboriyl	May	>aboriyl_1	pos:noun_prop	>aboriyl_1	pos:noun_prop
167	أَبْرِيم	>aboriym	أَبْرِيم	>aboriym	noun+prop	NOUN_PROP	أَبْرِيم	>aboriym	Ibrim	Al_0	pos:noun_prop	UNK	UNK
168	أَبْزِيم	>aboziym	أَبْزِيم	>aboziym	noun	NOUN	إِبْزِيم	<iboziym	buckle	>aboziym_1	pos:noun	<iboziym_1	pos:noun
169	أَبْزِيم	>aboziym	أَبْزِين	>aboziyn	noun	NOUN	إِبْزِيم	<iboziym	buckle	>aboziyn_1	pos:noun	<iboziym_1	pos:noun
170	أَبْسَط	>abosaT	أَبْسَط	>abosaT	adj+elative	ADJ_COMP	أَبْسَط	>abosaT	simpler;;simplest;;most basic	>abosaT_1	pos:adj_comp	>abosaT_1	pos:adj_comp
171	أَبْسَيه	>abosayh	أَبْسَيه	>abosayh	noun	NOUN	أَبْسَيه	>abosayh	_	>abosayh_1	pos:noun	UNK	UNK
172	أَبْسِيَة	>abosiyap	أَبْسِيَة	>abosiyap	noun	NOUN	خُراج	xurAj	abscess	UNK	UNK	xurAj_1	pos:noun
173	أَبْشَع	>abo$aE	أَبْشَع	>abo$aE	adj+elative	ADJ_COMP	أَبْشَع	>abo$aE	most hideous	>abo$aE_1	pos:adj_comp	>abo$aE_1	pos:adj_comp
174	أَبْشَع	>abo$aE	أَبْشَع	>abo$aE	adj+elative	ADJ_COMP	أَبْشَع	>abo$aE	uglier;;ugliest	>abo$aE_1	pos:adj_comp	>abo$aE_1	pos:adj_comp
175	أَبْشَع	>abo$aE	أَبْشَع	>abo$aE	adj+elative	ADJ_COMP	أَفْظْع	>afoZoE	most abominable	>abo$aE_1	pos:adj_comp	UNK	UNK
