ID	Source	Egyptian-Word	CODA	MSA-Equivalent	MSA-Lemma	MSA_L_S_Type	English-Equivalent	Egyptian-POS	Egyptian-POS-LDC	MSA-POS	MSA-POS-LDC	Word-Type	Lemma	Gender	Number	Rationality	CALIMA_EGY_LEMMA	SAMA_LEMMA	CALIMA_ALMOR_POS	SAMA_POS	SAMA-Gloss
6253	B	$akowaY	$akowaY	$akowaY	$akowaY	L	complaint	vbn	NOUN	vbn	NOUN	L	_	F	NA	NA	$akowaY_1	$akowaY_1	pos:noun	pos:noun	complaint;;grievance;;complaints;;grievances
6254	B	$akowaY	$akowaY	Ait~ihAm	Ait~ihAm	L	complaint	vbn	NOUN	vbn	NOUN	L	_	F	NA	NA	$akowaY_1	{it~ihAm_1	pos:noun	pos:noun	accusation;;charge;;indictment;;accusations;;charges
6255	B	$akowaY	$akowaY	ta*am~ur	ta*am~ur	L	complaint	vbn	NOUN	vbn	NOUN	L	_	F	NA	NA	$akowaY_1	ta*am~ur_1	pos:noun	pos:noun	grumbling;;grievance
6256	B	$akowaY	$akowaY	to$okaY	to$okaY	L	complaint	vbn	NOUN	vbn	NOUN	L	_	F	NA	NA	$akowaY_1	UNK	pos:noun	UNK	UNK
6257	B	$akowaY	$akowaY	$akowaY	$akowaY	L	complaint	vbn	NOUN	vbn	NOUN	L	_	F	NA	NA	$akowaY_1	$akowaY_1	pos:noun	pos:noun	complaint;;grievance;;complaints;;grievances
6258	B	$akowaY	$akowaY	$akowap	$akowap	L	complaint	vbn	NOUN	vbn	NOUN	L	_	F	NA	NA	$akowaY_1	$akowap_1	pos:noun	pos:noun	complaint;;grievance;;complaints;;grievances
6259	B	$akowaY	$akowaY	$akowaY	$akowaY	L	complaint	vbn	NOUN	vbn	NOUN	L	_	F	NA	NA	$akowaY_1	$akowaY_1	pos:noun	pos:noun	complaint;;grievance;;complaints;;grievances
6260	B	$akuwr	$akuwr	$okuwr	$okuwr	L	gratefully	adj	ADJ	adj	ADJ	L	_	M	S	R	UNK	UNK	UNK	UNK	UNK
6261	T	$akuwr	$akuwr	$akuwr	$akuwr	L	_	adj	ADJ	adj	ADJ	L	_	S	S	R	UNK	$akuwr_1	UNK	pos:noun	grateful;;thankful
6262	B	$Akuwriyap	$Akuwriyap	hinodibA'	hinodibA'	L	chicory	noun	NOUN	noun	NOUN	L	_	F	S	I	UNK	hinodibA'_1	UNK	pos:noun	endive;;wild chicory
6263	B	$Al	$Al	$Al	$Al	L	shawl	noun	NOUN	noun	NOUN	L	_	M	S	I	$Al_1	$Al_1	pos:noun	pos:noun	shawl;;shawls
6264	T	$Al	$Al	rafaE	rafaE	L	promote;;raise	verb	PV	verb	PV	L	_	NA	NA	NA	$Al_1	rafaE-a_1	pos:verb	pos:verb	lift;;raise;;increase;;be lifted;;be raised;;be increased
6265	T	$Al	$Al	$Al	$Al	L	shawl;;shawls	noun	NOUN	noun	NOUN	L	_	S	S	I	$Al_1	$Al_1	pos:noun	pos:noun	shawl;;shawls
6266	B	$al~	$al~	$al~	$al~	L	to paralyze	verb	PV	verb	PV	L	_	NA	NA	NA	$al~_1	$al~-a_1	pos:verb	pos:verb	be paralyzed;;be immobile
6267	T	$al~	$al~	$al~	$al~	L	_	verb	PV	verb	PV	L	_	NA	NA	NA	$al~_1	$al~-a_1	pos:verb	pos:verb	be paralyzed;;be immobile
6268	B	$al~aH	$al~aH	xal~aE	xal~aE	L	to take off;;remove a garment	verb	PV	verb	PV	L	_	NA	NA	NA	$al~aH_1	xal~aE_1	pos:verb	pos:verb	remove;;displace;;disintegrate;;fall apart
6269	B	$al~aH	$al~aH	$al~aH	$al~aH	L	to become short	verb	PV	verb	PV	L	_	NA	NA	NA	$al~aH_1	$al~aH_1	pos:verb	pos:verb	divest;;disrobe
6270	B	$al~aH	$al~aH	luEobap	luEobap	L	a card game	noun	NOUN	noun	NOUN	L	_	M	S	I	UNK	luEobap_1	UNK	pos:noun	game;;toy;;games;;toys
6271	B	$al~aH	$al~aH	ka$af	ka$af	L	to uncover	verb	PV	verb	PV	L	_	NA	NA	NA	$al~aH_1	ka$af-i_1	pos:verb	pos:verb	discover;;reveal;;disclose;;examine;;be discovered;;be revealed;;be disclosed
6272	T	$al~aH	$al~aH	$al~aH	$al~aH	L	divest;;disrobe	verb	PV	verb	PV	L	_	NA	NA	NA	$al~aH_1	$al~aH_1	pos:verb	pos:verb	divest;;disrobe
6273	B	$al~Al	$al~Al	$al~Al	$al~Al	L	waterfall	noun	NOUN	noun	NOUN	L	_	M	S	I	$al~Al_1	$al~Al_1	pos:noun	pos:noun	falls;;cataract;;cascade;;cataracts;;cascades
6274	T	$al~Al	$al~Al	$al~Al	$al~Al	L	falls;;cataract;;cascade;;falls;;cataracts;;cascades	noun	NOUN	noun	NOUN	L	_	S	S	I	$al~Al_1	$al~Al_1	pos:noun	pos:noun	falls;;cataract;;cascade;;cataracts;;cascades
6275	B	$al~al	$al~al	Darab	Darab	L	to baste;;tack	verb	PV	verb	PV	L	_	NA	NA	NA	UNK	Darab_1	UNK	pos:verb	strike;;hit;;be struck;;be hit
6276	C	$al~ap	$al~ap	$il~ap	$il~ap	L	group;clique;groups;cliques	noun	NOUN	noun	NOUN	L	_	F	S	I	$al~ap_1	$il~ap_1	pos:noun	pos:noun	group;;clique;;groups;;cliques
6277	B	$al~aq	$al~aq	tawAqaH	tawAqaH	L	to behave in an insolent manner	verb	PV	verb	PV	L	_	NA	NA	NA	$al~aq_1	tawAqaH_1	pos:verb	pos:verb	be shameless;;be impudent
6278	B	$al~asotuwn	$al~asotuwn	muDiy'	muDiy'	L	flared	adj	ADJ	adj	ADJ	L	_	M	S	I	UNK	muDiy'_1	UNK	pos:adj	shining;;bright
6279	B	$al~at	$al~at	rafas;;rakal	rafas;;rakal	L	to kick	verb	PV	verb	PV	L	_	NA	NA	NA	UNK	UNK	UNK	UNK	UNK
6280	C	$al~il	$al~il	$al~al	$al~al	L	_	verb	PV	verb	PV	L	_	NA	NA	NA	$al~il_1	UNK	pos:verb	UNK	UNK
6281	C	$al~it	$al~it	$al~at	$al~at	L	kick	verb	PV	verb	PV	L	_	NA	NA	NA	$al~it_1	$al~at_1	pos:verb	pos:verb	kick
6282	B	$al~uwfap	$al~uwfap	mi$ofar	mi$ofar	L	a protruding camel like lip	noun	NOUN	noun	NOUN	L	_	F	S	I	UNK	mi$ofar_1	UNK	pos:noun	snout;;lip;;lips
6283	B	$al~uwt	$al~uwt	rokolap	rokolap	L	a kick	noun	NOUN	noun	NOUN	L	_	M	S	I	$al~uwt_1	UNK	pos:noun	UNK	UNK
