ID	Source	Egyptian-Word	CODA	MSA-Equivalent	MSA-Lemma	MSA_L_S_Type	English-Equivalent	Egyptian-POS	Egyptian-POS-LDC	MSA-POS	MSA-POS-LDC	Word-Type	Lemma	Gender	Number	Rationality	CALIMA_EGY_LEMMA	SAMA_LEMMA	CALIMA_ALMOR_POS	SAMA_POS	SAMA-Gloss
1	T	*abiyHap	*abiyHap	*abiyHap	*abiyHap	L	slaughter animal;;sacrifice victim;;slaughter animals;;sacrifice victims	noun	NOUN	noun	NOUN	L	_	S	S	I	*abiyHap_1	*abiyHap_1	pos:noun	pos:noun	slaughter animal;;sacrifice victim;;slaughter animals;;sacrifice victims
2	B	*abo*abap	*abo*abap	*abo*abap	*abo*abap	L	oscillation;;vibration	vbn	NOUN	vbn	NOUN	L	_	F	NA	NA	*abo*abap_1	*abo*abap_1	pos:noun	pos:noun	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations
3	B	*abo*abap	*abo*abap	*abo*abap	*abo*abap	L	radio frequency	noun	NOUN	noun	NOUN	L	_	F	S	I	*abo*abap_1	*abo*abap_1	pos:noun	pos:noun	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations
4	T	*abo*abap	*abo*abap	*abo*abap	*abo*abap	L	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations	noun	NOUN	noun	NOUN	L	_	S	S	I	*abo*abap_1	*abo*abap_1	pos:noun	pos:noun	oscillation;;frequency;;vibration;;oscillations;;frequencies;;vibrations
5	C	*aboHap	*aboHap	*iboHap	*iboHap	L	angina;diphtheria	noun	NOUN	noun	NOUN	L	_	F	S	I	*aboHap_1	*iboHap_1	pos:noun	pos:noun	angina;;diphtheria
6	B	*AE	*AE	>a*AE	>a*AE	L	to broadcast	verb	PV	verb	PV	L	_	NA	NA	NA	UNK	>a*AE_1	UNK	pos:verb	broadcast;;propagate;;be broadcast;;be propagated
7	B	*aEan	*aEan	>a*oEan	>a*oEan	L	to submit;;give in;;yield	verb	PV	verb	PV	L	_	NA	NA	NA	UNK	>a*oEan_1	UNK	pos:verb	submit;;yield;;obey;;be submitted to;;be yielded to;;be obeyed
8	T	*aEar	*aEar	*aEar	*aEar	L	_	verb	PV	verb	PV	L	_	NA	NA	NA	*aEar_1	*aEar-a_1	pos:verb	pos:verb	frighten
9	T	*aEar	*aEar	>aroEab	>aroEab	L	frighten;;terrify;;be frighten;;be terrified	verb	PV	verb	PV	L	_	NA	NA	NA	*aEar_1	>aroEab_1	pos:verb	pos:verb	frighten;;terrify;;be frighten;;be terrified
10	B	*ahab	*ahab	*ahab	*ahab	L	to go	verb	PV	verb	PV	L	_	NA	NA	NA	*ahab_1	*ahab-a_2	pos:verb	pos:verb	take (with)
11	T	*ahab	*ahab	*ahab	*ahab	L	gild	verb	PV	verb	PV	L	_	NA	NA	NA	*ahab_1	*ahab-a_2	pos:verb	pos:verb	take (with)
12	T	*ahab	*ahab	*ah~ab	*ah~ab	L	gild	verb	PV	verb	PV	L	_	NA	NA	NA	*ahab_1	*ah~ab_1	pos:verb	pos:verb	gild
13	B	*ahal	*ahal	>a*ohal	>a*ohal	L	to shock	verb	PV	verb	PV	L	_	NA	NA	NA	*ahal_1	>a*ohal_1	pos:verb	pos:verb	baffle;;distract;;be baffled;;be distracted
14	B	*ak~ar	*ak~ar	*ak~ar	*ak~ar	L	to praise allah;;to glorify allah	verb	PV	verb	PV	L	_	NA	NA	NA	*ak~ar_1	*ak~ar_1	pos:verb	pos:verb	remind
15	B	*ak~ar	*ak~ar	*ak~ar	*ak~ar	L	to remind	verb	PV	verb	PV	L	_	NA	NA	NA	*ak~ar_1	*ak~ar_1	pos:verb	pos:verb	remind
16	T	*ak~ar	*ak~ar	*ak~ar	*ak~ar	L	remind	verb	PV	verb	PV	L	_	NA	NA	NA	*ak~ar_1	*ak~ar_1	pos:verb	pos:verb	remind
17	B	*ak~iyr	*ak~iyr	*ak~iyr	*ak~iyr	L	magnifier	adj	ADJ	adj	ADJ	L	_	M	S	R	UNK	UNK	UNK	UNK	UNK
18	C	*ak~iyr	*ak~iyr	*ak~iyr	*ak~iyr	L	magnifier	adj	ADJ	adj	ADJ	L	_	M	S	R	UNK	UNK	UNK	UNK	UNK
19	T	*akA'	*akA'	*akA'	*akA'	L	intelligence;;cleverness	noun	NOUN	noun	NOUN	L	_	S	S	I	*akA'_1	*akA'_1	pos:noun	pos:noun	intelligence;;cleverness
20	B	*akA'	*akA'	*akA'	*akA'	L	intelligence	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	*akA'_1	*akA'_1	pos:noun	pos:noun	intelligence;;cleverness
21	B	*akar	*akar	>a$Ar	>a$Ar	L	to mention	verb	PV	verb	PV	L	_	NA	NA	NA	*akar_1	>a$Ar_1	pos:verb	pos:verb	indicate;;mention;;cite;;be indicated;;be mentioned;;be cited
22	B	*akar	*akar	*akar	*akar	L	to mention	verb	PV	verb	PV	L	_	NA	NA	NA	*akar_1	*akar-u_1	pos:verb	pos:verb	mention;;cite;;remember;;be mentioned;;be cited;;be worth mentioning;;be worth citing
23	B	*akar	*akar	ta*ak~ar	ta*ak~ar	L	to remember	verb	PV	verb	PV	L	_	NA	NA	NA	*akar_1	ta*ak~ar_1	pos:verb	pos:verb	remember
24	B	*akar	*akar	*akar	*akar	L	keep in mind	verb	PV	verb	PV	L	_	NA	NA	NA	*akar_1	*akar-u_1	pos:verb	pos:verb	mention;;cite;;remember;;be mentioned;;be cited;;be worth mentioning;;be worth citing
25	B	*akar	*akar	*akar	*akar	L	think of	verb	PV	verb	PV	L	_	NA	NA	NA	*akar_1	*akar-u_1	pos:verb	pos:verb	mention;;cite;;remember;;be mentioned;;be cited;;be worth mentioning;;be worth citing
26	T	*akar	*akar	*akar	*akar	L	remind	verb	PV	verb	PV	L	_	NA	NA	NA	*akar_1	*akar-u_1	pos:verb	pos:verb	mention;;cite;;remember;;be mentioned;;be cited;;be worth mentioning;;be worth citing
27	T	*akar	*akar	*ak~ar	*ak~ar	L	remind	verb	PV	verb	PV	L	_	NA	NA	NA	*akar_1	*ak~ar_1	pos:verb	pos:verb	remind
28	C	*akAwap	*akAwap	*akA'	*akA'	L	intelligence;;cleverness	noun	NOUN	noun	NOUN	L	_	F	S	I	*akAwap_1	*akA'_1	pos:noun	pos:noun	intelligence;;cleverness
29	B	*Akir	*Akir	*Akar	*Akar	L	to study	verb	PV	verb	PV	L	_	NA	NA	NA	*Akir_1	*Akar_1	pos:verb	pos:verb	negotiate
30	B	*Akir	*Akir	daras	daras	L	to study;;discuss	verb	PV	verb	PV	L	_	NA	NA	NA	*Akir_1	daras-u_1	pos:verb	pos:verb	study;;learn;;be studied;;be learned
31	T	*Akir	*Akir	*Akar	*Akar	L	negotiate	verb	PV	verb	PV	L	_	NA	NA	NA	*Akir_1	*Akar_1	pos:verb	pos:verb	negotiate
32	B	*Akirap	*Akirap	*Akirap	*Akirap	L	memory	noun	NOUN	noun	NOUN	L	_	F	S	I	*Akirap_1	*Akirap_1	pos:noun	pos:noun	memory
33	B	*Akirap	*Akirap	*Akirap	*Akirap	L	power of memory	noun	NOUN	noun	NOUN	L	_	F	S	I	*Akirap_1	*Akirap_1	pos:noun	pos:noun	memory
34	T	*Akirap	*Akirap	*Akirap	*Akirap	L	memory	noun	NOUN	noun	NOUN	L	_	S	S	I	*Akirap_1	*Akirap_1	pos:noun	pos:noun	memory
35	B	*akiy	*akiy	labiyb	labiyb	L	sagacious	adj	ADJ	adj	ADJ	L	_	M	S	R	*akiy_1	labiyb_2	pos:adj	pos:adj	sensible;;reasonable
36	B	*akiy	*akiy	*akiy~	*akiy~	L	brilliant	adj	ADJ	adj	ADJ	L	_	M	S	R	*akiy_1	*akiy~_2	pos:adj	pos:adj	delicious
37	B	*akiy	*akiy	>alomaEiy~	>alomaEiy~	L	bright	adj	ADJ	adj	ADJ	L	_	M	S	R	*akiy_1	>alomaEiy~_1	pos:adj	pos:adj	bright;;shrewd
38	B	*akiy	*akiy	bAriE	bAriE	L	intelligent	adj	ADJ	adj	ADJ	L	_	M	S	R	*akiy_1	bAriE_1	pos:adj	pos:adj	skilled;;proficient
39	B	*akiy	*akiy	EAqil	EAqil	L	smart	adj	ADJ	adj	ADJ	L	_	M	S	R	*akiy_1	EAqil_1	pos:adj	pos:adj	rational;;reasonable;;judicious
40	B	*akiy	*akiy	fahiym	fahiym	L	intelligent	adj	ADJ	adj	ADJ	L	_	M	S	R	*akiy_1	fahiym_2	pos:adj	pos:adj	discerning;;judicious
41	B	*akiy	*akiy	nabiyh	nabiyh	L	skilful	adj	ADJ	adj	ADJ	L	_	M	S	R	*akiy_1	nabiyh_1	pos:adj	pos:adj	eminent;;noble
42	B	*akiy	*akiy	mudorik	mudorik	L	shrewd	adj	ADJ	adj	ADJ	L	_	M	S	R	*akiy_1	mudorik_1	pos:adj	pos:adj	realizing;;knowing
43	T	*akiy	*akiy	*akiy~	*akiy~	L	intelligent;;clever	adj	ADJ	adj	ADJ	L	_	S	S	R	*akiy_1	*akiy~_2	pos:adj	pos:adj	delicious
44	T	*akiy	*akiy	*akiy	*akiy	L	Zaki	noun+prop	NOUN_PROP	noun+prop	NOUN_PROP	L	_	S	S	R	UNK	UNK	UNK	UNK	UNK
45	T	*akiy~	*akiy~	*akiy~	*akiy~	L	intelligent;;clever	adj	ADJ	adj	ADJ	L	_	S	S	R	*akiy_1	*akiy~_2	pos:adj	pos:adj	delicious
46	C	*Akorap	*Akorap	*Akirap	*Akirap	L	memory	noun	NOUN	noun	NOUN	L	_	F	S	I	*Akorap_1	*Akirap_1	pos:noun	pos:noun	memory
47	T	*Al	*Al	*Al	*Al	L	dhal (Arabic letter)	noun	NOUN	noun	NOUN	L	_	NA	NA	I	UNK	*Al_1	UNK	pos:noun	dhal (Arabic letter)
48	T	*Al	*Al	*Al	*Al	L	dhal (Arabic letter)	noun	NOUN	noun	NOUN	L	_	S	S	I	UNK	*Al_1	UNK	pos:noun	dhal (Arabic letter)
49	B	*Al	*Al	*Al	*Al	L	thal	noun	NOUN	noun	NOUN	L	_	M	_	I	UNK	*Al_1	UNK	pos:noun	dhal (Arabic letter)
50	B	*al~	*al~	*al~	*al~	L	to humiliate	verb	PV	verb	PV	L	_	NA	NA	NA	*al~_1	UNK	pos:verb	UNK	UNK
51	B	*al~	*al~	>ahAn	>ahAn	L	debase	verb	PV	verb	PV	L	_	NA	NA	NA	*al~_1	>ahAn_1	pos:verb	pos:verb	insult;;disdain;;be insulted;;be disdained
52	B	*al~	*al~	>a*al~	>a*al~	L	debase	verb	PV	verb	PV	L	_	NA	NA	NA	*al~_1	>a*al~_1	pos:verb	pos:verb	degrade;;subdue;;be degraded;;be subdued
53	B	*al~	*al~	*al~	*al~	L	to become lowly	verb	PV	verb	PV	L	_	NA	NA	NA	*al~_1	UNK	pos:verb	UNK	UNK
54	B	*al~	*al~	*al~	*al~	L	be debased	verb	PV	verb	PV	L	_	NA	NA	NA	*al~_1	UNK	pos:verb	UNK	UNK
55	B	*al~ap	*al~ap	*il~ap	*il~ap	L	shameful mistake	noun	NOUN	noun	NOUN	L	_	F	S	I	*al~ap_1	*il~ap_1	pos:noun	pos:noun	depravity;;submissiveness
56	B	*al~il	*al~il	*al~al	*al~al	L	to overcome	verb	PV	verb	PV	L	_	NA	NA	NA	*al~il_1	*al~al_1	pos:verb	pos:verb	degrade;;subdue
57	B	*al~il	*al~il	qahar	qahar	L	to overcome	verb	PV	verb	PV	L	_	NA	NA	NA	*al~il_1	qahar-a_1	pos:verb	pos:verb	defeat;;overpower
58	B	*al~il	*al~il	*al~al	*al~al	L	to overcome	verb	PV	verb	PV	L	_	NA	NA	NA	*al~il_1	*al~al_1	pos:verb	pos:verb	degrade;;subdue
59	B	*al~il	*al~il	sayoTar	sayoTar	L	to overcome	verb	PV	verb	PV	L	_	NA	NA	NA	*al~il_1	sayoTar_1	pos:verb	pos:verb	dominate;;seize;;command
60	B	*al~il	*al~il	tagal~ab	tagal~ab	L	to overcome	verb	PV	verb	PV	L	_	NA	NA	NA	*al~il_1	tagal~ab_1	pos:verb	pos:verb	overcome;;surmount
61	B	*al~il	*al~il	*al~al	*al~al	L	surmount	verb	PV	verb	PV	L	_	NA	NA	NA	*al~il_1	*al~al_1	pos:verb	pos:verb	degrade;;subdue
62	B	*al~il	*al~il	tajAwaz	tajAwaz	L	surmount	verb	PV	verb	PV	L	_	NA	NA	NA	*al~il_1	tajAwaz_1	pos:verb	pos:verb	exceed;;disregard
63	B	*al~il	*al~il	EalA	EalA	L	surmount	verb	PV	verb	PV	L	_	NA	NA	NA	*al~il_1	EalA-u_1	pos:verb	pos:verb	rise;;loom;;ascend;;be elevated
64	C	*alik	*alik	*alika	*alika	L	_	dem	DEM_PRON	dem	DEM_PRON	L	_	M	S	NA	*alik_1	UNK	pos:pron_dem	UNK	UNK
65	C	*Alil	*Alil	*Alil	*Alil	L	_	pple-act	ADJ	pple-act	ADJ	L	_	M	S	R	*Alil_1	UNK	pos:adj	UNK	UNK
66	B	*aliyl	*aliyl	daniy'	daniy'	L	sinful	adj	ADJ	adj	ADJ	L	_	M	S	R	*aliyl_1	daniy'_1	pos:adj	pos:adj	contemptible;;inferior
67	B	*aliyl	*aliyl	Haqiyr	Haqiyr	L	despicable	adj	ADJ	adj	ADJ	L	_	M	S	R	*aliyl_1	Haqiyr_1	pos:adj	pos:noun	despicable;;despised
68	B	*aliyl	*aliyl	muhiyn	muhiyn	L	despicable	adj	ADJ	adj	ADJ	L	_	M	S	R	*aliyl_1	muhiyn_1	pos:adj	pos:adj	insulting;;contemptuous
69	B	*aliyl	*aliyl	xasiys	xasiys	L	abject	adj	ADJ	adj	ADJ	L	_	M	S	R	*aliyl_1	xasiys_2	pos:adj	pos:noun	mean trick;;infamy;;mean tricks;;infamies
70	B	*aliyl	*aliyl	xanuwE	xanuwE	L	slavish	adj	ADJ	adj	ADJ	L	_	M	S	R	*aliyl_1	xanuwE_1	pos:adj	pos:adj	submissive;;treacherous
71	B	*aliyl	*aliyl	waDiyE	waDiyE	L	mean	adj	ADJ	adj	ADJ	L	_	M	S	R	*aliyl_1	waDiyE_1	pos:adj	pos:adj	lowly;;inferior;;humble
72	B	*aliyl	*aliyl	*aliyl	*aliyl	L	contemptible	adj	ADJ	adj	ADJ	L	_	M	S	R	*aliyl_1	*aliyl_1	pos:adj	pos:adj	despised;;submissive
73	B	*aliyl	*aliyl	muhiyn	muhiyn	L	contemptible	adj	ADJ	adj	ADJ	L	_	M	S	I	*aliyl_1	muhiyn_1	pos:adj	pos:adj	insulting;;contemptuous
74	T	*aliyl	*aliyl	*aliyl	*aliyl	L	despised;;submissive	adj	ADJ	adj	ADJ	L	_	S	S	R	*aliyl_1	*aliyl_1	pos:adj	pos:adj	despised;;submissive
75	B	*am~	*am~	*am~	*am~	L	to speak ill of	verb	PV	verb	PV	L	_	NA	NA	NA	*am~_1	*am~-u_1	pos:verb	pos:verb	blame;;criticize
76	T	*am~	*am~	*am~	*am~	L	_	verb	PV	verb	PV	L	_	NA	NA	NA	*am~_1	*am~-u_1	pos:verb	pos:verb	blame;;criticize
77	B	*an~ib	*an~ib	EAqab	EAqab	L	to punish	verb	PV	verb	PV	L	_	NA	NA	NA	*an~ib_1	EAqab_1	pos:verb	pos:verb	punish;;be punished
78	T	*anob	*anob	*anob	*anob	L	fault;;offense;;misdeed;;misdeeds;;offenses;;faults	noun	NOUN	noun	NOUN	L	_	S	S	I	*anob_1	*anob_1	pos:noun	pos:noun	fault;;offense;;misdeed;;misdeeds;;offenses;;faults
79	B	*anob	*anob	*anob	*anob	L	fault	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	*anob_1	pos:noun	pos:noun	fault;;offense;;misdeed;;misdeeds;;offenses;;faults
80	B	*anob	*anob	<ivom	<ivom	L	fault	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	<ivom_1	pos:noun	pos:noun	offense;;misdeed;;offenses;;sins
81	B	*anob	*anob	*anob	*anob	L	fault	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	*anob_1	pos:noun	pos:noun	fault;;offense;;misdeed;;misdeeds;;offenses;;faults
82	B	*anob	*anob	naqiySap	naqiySap	L	fault	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	naqiySap_1	pos:noun	pos:noun	shortcoming;;defect;;shortcomings;;defects
83	B	*anob	*anob	say~i}ap	say~i}ap	L	fault	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	say~i}ap_1	pos:noun	pos:noun	offense;;misdeed;;offenses;;misdeeds
84	B	*anob	*anob	gaDADap	gaDADap	L	fault	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	gaDADap_2	pos:noun	pos:noun	deficiency;;fault;;diminutions;;shame
85	B	*anob	*anob	junoHap	junoHap	L	fault	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	junoHap_1	pos:noun	pos:noun	misdemeanor;;misdemeanors
86	B	*anob	*anob	zal~ap	zal~ap	L	fault	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	zal~ap_1	pos:noun	pos:noun	lapse;;slip;;lapses;;slips
87	B	*anob	*anob	xaTa>	xaTa>	L	fault	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	xaTa>_1	pos:noun	pos:noun	mistake;;error;;fault;;mistakes;;errors;;faults
88	B	*anob	*anob	<ihAnap	<ihAnap	L	offence	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	<ihAnap_1	pos:noun	pos:noun	insult;;contempt
89	B	*anob	*anob	<isA'ap	<isA'ap	L	offence	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	<isA'ap_2	pos:noun	pos:noun	wrong;;incorrect;;mis-
90	B	*anob	*anob	<ivom	<ivom	L	offence	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	<ivom_1	pos:noun	pos:noun	offense;;misdeed;;offenses;;sins
91	B	*anob	*anob	junoHap	junoHap	L	offence	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	junoHap_1	pos:noun	pos:noun	misdemeanor;;misdemeanors
92	B	*anob	*anob	hujuwm	hujuwm	L	offence	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	hujuwm_1	pos:noun	pos:noun	attack;;charge;;assault
93	B	*anob	*anob	<izoEAj	<izoEAj	L	offence	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	<izoEAj_1	pos:noun	pos:noun	disturbance;;harassment
94	B	*anob	*anob	*anob	*anob	L	offence	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	*anob_1	pos:noun	pos:noun	fault;;offense;;misdeed;;misdeeds;;offenses;;faults
95	B	*anob	*anob	<isotiyA'	<isotiyA'	L	offence	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	{isotiyA'_1	pos:noun	pos:noun	dissatisfaction;;displeasure
96	B	*anob	*anob	jariymap	jariymap	L	offence	noun	NOUN	noun	NOUN	L	_	M	S	I	*anob_1	jariymap_1	pos:noun	pos:noun	crime;;crimes
97	B	*anob	*anob	<ivom	<ivom	L	sin	noun	NOUN	noun	NOUN	L	_	M	NA	NA	*anob_1	<ivom_1	pos:noun	pos:noun	offense;;misdeed;;offenses;;sins
98	B	*anob	*anob	*anob	*anob	L	sin	noun	NOUN	noun	NOUN	L	_	M	NA	NA	*anob_1	*anob_1	pos:noun	pos:noun	fault;;offense;;misdeed;;misdeeds;;offenses;;faults
99	B	*anob	*anob	maEoSiyap	maEoSiyap	L	sin	noun	NOUN	noun	NOUN	L	_	M	NA	NA	*anob_1	maEoSiyap_2	pos:noun	pos:noun	disobedience;;sin
100	B	*anob	*anob	say~i}ap	say~i}ap	L	sin	noun	NOUN	noun	NOUN	L	_	M	NA	NA	*anob_1	say~i}ap_1	pos:noun	pos:noun	offense;;misdeed;;offenses;;misdeeds
101	B	*anob	*anob	xaTiy}ap	xaTiy}ap	L	sin	noun	NOUN	noun	NOUN	L	_	M	NA	NA	*anob_1	xaTiy}ap_1	pos:noun	pos:noun	mistake;;error;;fault;;mistakes;;errors;;faults
102	B	*ar~aE	*ar~aE	*ar~aE	*ar~aE	L	to frighten;;terrify;;alarm	verb	PV	verb	PV	L	_	NA	NA	NA	UNK	UNK	UNK	UNK	UNK
103	B	*ar~ap	*ar~ap	*ar~ap	*ar~ap	L	particle	noun	NOUN	noun	NOUN	L	_	F	S	I	UNK	*ar~ap_1	UNK	pos:noun	atom;;particle;;atoms;;particles
104	B	*ar~ap	*ar~ap	*ar~ap	*ar~ap	L	atom	noun	NOUN	noun	NOUN	L	_	F	S	I	UNK	*ar~ap_1	UNK	pos:noun	atom;;particle;;atoms;;particles
105	B	*ar~iy	*ar~iy	*ar~iy~	*ar~iy~	L	atomic	adj	ADJ	adj	ADJ	L	_	M	S	I	*ar~iy_1	*ar~iy~_1	pos:adj	pos:adj	atomic
106	B	*At	*At	*At	*At	L	self;;person;;identity	noun	NOUN	noun	NOUN	L	_	F	S	I	*At_1	*At_2	pos:noun	pos:noun	having;;possessing;;those having
107	B	*At	*At	*At	*At	L	self	noun	NOUN	noun	NOUN	L	_	M	S	I	*At_1	*At_2	pos:noun	pos:noun	having;;possessing;;those having
108	T	*At	*At	*At	*At	L	same;;self;;essence;;selves;;beings;;exactly;;precisely	noun	NOUN	noun	NOUN	L	_	S	S	I	*At_1	*At_2	pos:noun	pos:noun	having;;possessing;;those having
109	T	*At	*At	*At	*At	L	_	adj	ADJ	adj	ADJ	L	_	S	S	I	UNK	*At_2	UNK	pos:noun	having;;possessing;;those having
110	B	*Atiy	*Atiy	*Atiy~	*Atiy~	L	personal	adj	ADJ	adj	ADJ	L	_	M	S	I	*Atiy_1	*Atiy~_1	pos:adj	pos:adj	autonomous;;self;;auto-
111	B	*Atiy	*Atiy	*Atiy~	*Atiy~	L	individual	adj	ADJ	adj	ADJ	L	_	M	S	I	*Atiy_1	*Atiy~_1	pos:adj	pos:adj	autonomous;;self;;auto-
112	B	*Atiy	*Atiy	*Atiy~	*Atiy~	L	innate	adj	ADJ	adj	ADJ	L	_	M	S	I	*Atiy_1	*Atiy~_1	pos:adj	pos:adj	autonomous;;self;;auto-
113	C	*aw	*aw	*uw	*uw	L	of;with	adj	ADJ	adj	ADJ	L	_	M	S	I	UNK	*uw_1	UNK	pos:noun	of;;with
114	B	*awAtiy	*awAtiy	mutoraf	mutoraf	L	aristocratic	adj	ADJ	adj	ADJ	L	_	M	S	R	*awAtiy_1	mutoraf_1	pos:adj	pos:noun	rich;;wealthy;;luxurious
115	T	*awoqiy	*awoqiy	*awqiy~AF	*awqiy~AF	L	_	adv	ADJ	adv	ADJ	L	_	NA	NA	NA	*awqiy~_1	UNK	pos:adj	UNK	UNK
116	T	*awq	*awq	*awoq	*awoq	L	taste;;sense;;sensitivity;;tastes;;sensitivities	noun	NOUN	noun	NOUN	L	_	S	S	I	*awq_1	*awoq_1	pos:noun	pos:noun	taste;;sense;;sensitivity;;tastes;;sensitivities
117	B	*awqiy~AF	*awqiy~AF	*awqiy~AFF	*awqiy~AFF	L	as a matter of consideration	adv	NOUN	adv	NOUN	L	_	NA	NA	NA	UNK	UNK	UNK	UNK	UNK
118	C	*awqiy~ap	*awqiy~ap	*awqiy~ap	*awqiy~ap	L	_	noun	NOUN	noun	NOUN	L	_	F	S	I	*awqiy~ap_1	UNK	pos:noun	UNK	UNK
119	C	*ihAb	*ihAb	*ahAb	*ahAb	L	going;departure	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	*ihAb_1	*ahAb_1	pos:noun	pos:noun	going;;departure
120	B	*ihon	*ihon	*ihon	*ihon	L	mind	noun	NOUN	noun	NOUN	L	_	M	S	I	*ihon_1	*ihon_1	pos:noun	pos:noun	mind;;intellect;;minds;;intellects
121	T	*ihon	*ihon	*ihon	*ihon	L	mind;;intellect;;minds;;intellects	noun	NOUN	noun	NOUN	L	_	S	S	I	*ihon_1	*ihon_1	pos:noun	pos:noun	mind;;intellect;;minds;;intellects
122	B	*ihoniy	*ihoniy	*ihoniy~	*ihoniy~	L	mental	adj	ADJ	adj	ADJ	L	_	M	S	I	*ihoniy_1	*ihoniy~_1	pos:adj	pos:adj	mental;;intellectual
123	B	*ikor	*ikor	ta*ak~ur	ta*ak~ur	L	remembrance	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	*ikor_1	ta*ak~ur_1	pos:noun	pos:noun	remembrance;;recollection
124	B	*ikor	*ikor	ta*okiyr	ta*okiyr	L	mention	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	*ikor_1	ta*okiyr_2	pos:noun	pos:noun	reminder;;memento
125	B	*ikor	*ikor	*ikor	*ikor	L	mention	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	*ikor_1	*ikor_1	pos:noun	pos:noun	mention;;citation;;memory
126	B	*ikor	*ikor	ta*ak~ur	ta*ak~ur	L	recollection	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	*ikor_1	ta*ak~ur_1	pos:noun	pos:noun	remembrance;;recollection
127	B	*ikor	*ikor	*ikor	*ikor	L	rememberance	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	*ikor_1	*ikor_1	pos:noun	pos:noun	mention;;citation;;memory
128	B	*ikor	*ikor	*ikor	*ikor	L	the koran	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	*ikor_1	*ikor_1	pos:noun	pos:noun	mention;;citation;;memory
129	T	*ikor	*ikor	*ikor	*ikor	L	mention;;citation;;memory	noun	NOUN	noun	NOUN	L	_	S	S	I	*ikor_1	*ikor_1	pos:noun	pos:noun	mention;;citation;;memory
130	T	*ikor	*ikor	*ikor	*ikor	L	mention;;citation;;memory	vbn	NOUN	vbn	NOUN	L	_	NA	NA	NA	*ikor_1	*ikor_1	pos:noun	pos:noun	mention;;citation;;memory
131	B	*ikoraY	*ikoraY	*ikoraY	*ikoraY	L	memory	noun	NOUN	noun	NOUN	L	_	M	S	I	*ikoraY_1	*ikoraY_1	pos:noun	pos:noun	commemoration;;remembrance;;memoirs;;diary
132	B	*ikoraY	*ikoraY	*ikoraY	*ikoraY	L	reminiscence	vbn	NOUN	vbn	NOUN	L	_	M	NA	NA	*ikoraY_1	*ikoraY_1	pos:noun	pos:noun	commemoration;;remembrance;;memoirs;;diary
133	T	*ikoraY	*ikoraY	*ikoraY	*ikoraY	L	commemoration;;remembrance;;memoirs;;diary	noun	NOUN	noun	NOUN	L	_	S	S	I	*ikoraY_1	*ikoraY_1	pos:noun	pos:noun	commemoration;;remembrance;;memoirs;;diary
134	B	*ikorayAt	*ikorayAt	*ikorayAt	*ikoraY	S	memoirs	noun	NOUN	noun	NOUN	S	*ikoraY	F	P	I	*ikoraY_1	*ikoraY_1	pos:noun	pos:noun	commemoration;;remembrance;;memoirs;;diary
135	T	*il~ap	*il~ap	*il~ap	*il~ap	L	depravity;;submissiveness	noun	NOUN	noun	NOUN	L	_	S	S	I	*il~ap_1	*il~ap_1	pos:noun	pos:noun	depravity;;submissiveness
136	B	*im~ap	*im~ap	*im~ap	*im~ap	L	integrity	noun	NOUN	noun	NOUN	L	_	F	S	I	*im~ap_1	*im~ap_1	pos:noun	pos:noun	protection;;security
137	B	*im~ap	*im~ap	tamAm	tamAm	L	integrity	noun	NOUN	noun	NOUN	L	_	F	S	I	*im~ap_1	tamAm_1	pos:noun	pos:noun	exact;;complete;;exactly;;completely
138	B	*im~ap	*im~ap	nazAhap	nazAhap	L	integrity	noun	NOUN	noun	NOUN	L	_	F	S	I	*im~ap_1	nazAhap_1	pos:noun	pos:noun	impartiality;;neutral attitude
